agency,country,year,mission_type,status,cost_million,duration_days,crew_size,decade,is_success
NASA,USA,1996,Satellite,Success,138.5,127,0,1990s,1
NASA,USA,1996,Telescope,Success,85.1,156,0,1990s,1
NASA,USA,1996,Probe,Success,13.3,73,0,1990s,1
NASA,USA,1996,Flyby,Success,97.3,298,0,1990s,1
NASA,USA,1996,Lander,Success,226.4,114,0,1990s,1
NASA,USA,1997,Flyby,Success,50.0,12,0,1990s,1
NASA,USA,1997,Rover,Success,37.6,285,0,1990s,1
NASA,USA,1997,Satellite,Success,421.3,196,0,1990s,1
NASA,USA,1997,Space Station,Success,124.6,305,0,1990s,1
NASA,USA,1998,Satellite,Success,574.6,87,0,1990s,1
NASA,USA,1998,Telescope,Failure,31.1,505,0,1990s,0
NASA,USA,1998,Satellite,Success,395.0,174,0,1990s,1
NASA,USA,1999,Lander,Success,8.5,151,0,1990s,1
NASA,USA,1999,Satellite,Failure,430.5,21,2,1990s,0
NASA,USA,1999,Crewed,Success,399.0,29,0,1990s,1
NASA,USA,2000,Satellite,Success,597.7,157,0,2000s,1
NASA,USA,2000,Flyby,Success,41.6,158,0,2000s,1
NASA,USA,2000,Satellite,Success,514.2,484,0,2000s,1
NASA,USA,2000,Flyby,Success,307.1,29,0,2000s,1
NASA,USA,2000,Crewed,Success,333.4,490,4,2000s,1
NASA,USA,2001,Flyby,Success,509.9,131,0,2000s,1
NASA,USA,2001,Satellite,Success,102.1,292,0,2000s,1
NASA,USA,2001,Crewed,Success,192.7,454,0,2000s,1
NASA,USA,2002,Satellite,Success,48.5,124,0,2000s,1
NASA,USA,2002,Crewed,Success,217.2,180,0,2000s,1
NASA,USA,2002,Satellite,Success,811.5,28,0,2000s,1
NASA,USA,2003,Satellite,Success,346.5,42,2,2000s,1
NASA,USA,2003,Satellite,Success,9.3,114,0,2000s,1
NASA,USA,2004,Crewed,Success,128.0,147,0,2000s,1
NASA,USA,2004,Space Station,Success,730.2,84,0,2000s,1
NASA,USA,2005,Lander,Success,268.9,4,0,2000s,1
NASA,USA,2005,Telescope,Success,5.0,19,0,2000s,1
NASA,USA,2006,Satellite,Success,320.3,348,2,2000s,1
NASA,USA,2006,Telescope,Success,57.3,62,2,2000s,1
NASA,USA,2007,Satellite,Success,6.7,36,0,2000s,1
NASA,USA,2008,Probe,Success,78.0,176,0,2000s,1
NASA,USA,2008,Crewed,Success,87.2,533,0,2000s,1
NASA,USA,2008,Space Station,Success,167.1,404,0,2000s,1
NASA,USA,2008,Satellite,Success,78.2,140,0,2000s,1
NASA,USA,2009,Flyby,Success,186.5,33,0,2000s,1
NASA,USA,2010,Satellite,Success,214.8,57,0,2010s,1
NASA,USA,2011,Space Station,Success,517.7,163,0,2010s,1
NASA,USA,2011,Satellite,Success,614.6,97,0,2010s,1
NASA,USA,2011,Satellite,Success,45.5,241,0,2010s,1
NASA,USA,2012,Lander,Success,88.1,150,0,2010s,1
NASA,USA,2012,Flyby,Success,329.7,43,0,2010s,1
NASA,USA,2012,Probe,Success,13.2,123,0,2010s,1
NASA,USA,2013,Lander,Success,171.0,209,0,2010s,1
NASA,USA,2013,Rover,Success,401.6,213,0,2010s,1
NASA,USA,2014,Satellite,Success,750.1,106,0,2010s,1
NASA,USA,2014,Space Station,Success,329.4,295,0,2010s,1
NASA,USA,2015,Flyby,Partial Success,10.1,220,4,2010s,0
NASA,USA,2015,Probe,Success,617.7,6,0,2010s,1
NASA,USA,2015,Flyby,Success,885.6,519,0,2010s,1
NASA,USA,2015,Rover,Success,96.1,317,0,2010s,1
NASA,USA,2016,Lander,Success,103.8,232,0,2010s,1
NASA,USA,2016,Probe,Success,391.0,69,0,2010s,1
NASA,USA,2017,Satellite,Success,519.3,135,4,2010s,1
NASA,USA,2017,Flyby,Success,108.0,262,0,2010s,1
NASA,USA,2017,Telescope,Success,517.2,745,0,2010s,1
NASA,USA,2018,Crewed,Success,84.7,63,0,2010s,1
NASA,USA,2018,Satellite,Success,1100.0,100,0,2010s,1
NASA,USA,2018,Satellite,Success,748.7,277,0,2010s,1
NASA,USA,2019,Satellite,Partial Success,715.0,188,0,2010s,0
NASA,USA,2019,Satellite,Success,48.6,44,0,2010s,1
NASA,USA,2019,Crewed,Success,14.9,625,2,2010s,1
NASA,USA,2019,Flyby,Success,47.8,90,0,2010s,1
NASA,USA,2019,Satellite,Success,423.0,45,0,2010s,1
NASA,USA,2020,Satellite,Success,34.7,395,6,2020s,1
NASA,USA,2020,Rover,Success,266.2,144,0,2020s,1
NASA,USA,2020,Crewed,Success,75.2,231,0,2020s,1
NASA,USA,2021,Satellite,Success,476.3,123,0,2020s,1
NASA,USA,2022,Rover,Success,268.6,342,2,2020s,1
NASA,USA,2022,Rover,Success,298.9,205,0,2020s,1
NASA,USA,2022,Satellite,Success,531.9,369,0,2020s,1
NASA,USA,2022,Satellite,Success,102.0,244,0,2020s,1
NASA,USA,2022,Rover,Success,177.0,1,0,2020s,1
NASA,USA,2023,Satellite,Success,357.9,140,6,2020s,1
NASA,USA,2023,Telescope,Success,672.2,19,4,2020s,1
NASA,USA,2023,Satellite,Success,89.5,221,0,2020s,1
NASA,USA,2023,Satellite,Success,242.5,8,2,2020s,1
NASA,USA,2023,Flyby,Failure,346.2,25,0,2020s,0
Roscosmos,Russia,1957,Satellite,Success,100.6,264,0,1950s,1
Roscosmos,Russia,1958,Crewed,Partial Success,90.1,32,0,1950s,0
Roscosmos,Russia,1959,Lander,Success,159.4,57,6,1950s,1
Roscosmos,Russia,1960,Flyby,Success,81.6,183,0,1960s,1
Roscosmos,Russia,1961,Satellite,Partial Success,35.9,5,0,1960s,0
Roscosmos,Russia,1961,Space Station,Success,96.1,620,0,1960s,1
Roscosmos,Russia,1962,Satellite,Success,380.5,172,0,1960s,1
Roscosmos,Russia,1962,Satellite,Success,20.1,208,0,1960s,1
Roscosmos,Russia,1962,Probe,Success,10.0,156,0,1960s,1
Roscosmos,Russia,1962,Satellite,Failure,91.1,2,0,1960s,0
Roscosmos,Russia,1962,Probe,Success,137.5,62,0,1960s,1
Roscosmos,Russia,1963,Satellite,Success,41.6,777,0,1960s,1
Roscosmos,Russia,1963,Telescope,Success,181.8,147,0,1960s,1
Roscosmos,Russia,1964,Crewed,Success,5.1,14,0,1960s,1
Roscosmos,Russia,1965,Lander,Success,241.9,40,0,1960s,1
Roscosmos,Russia,1966,Lander,Failure,5.0,495,0,1960s,0
Roscosmos,Russia,1967,Rover,Success,12.5,405,0,1960s,1
Roscosmos,Russia,1967,Probe,Failure,154.7,134,0,1960s,0
Roscosmos,Russia,1967,Satellite,Success,42.6,31,2,1960s,1
Roscosmos,Russia,1967,Flyby,Success,61.6,36,0,1960s,1
Roscosmos,Russia,1968,Satellite,Failure,841.3,662,0,1960s,0
Roscosmos,Russia,1968,Lander,Success,11.2,5,0,1960s,1
Roscosmos,Russia,1969,Satellite,Success,69.6,790,0,1960s,1
Roscosmos,Russia,1969,Probe,Failure,86.6,232,0,1960s,0
Roscosmos,Russia,1969,Space Station,Failure,82.2,58,0,1960s,0
Roscosmos,Russia,1970,Space Station,Failure,29.7,48,6,1970s,0
Roscosmos,Russia,1970,Rover,Success,101.7,51,2,1970s,1
Roscosmos,Russia,1970,Probe,Success,66.8,161,0,1970s,1
Roscosmos,Russia,1970,Flyby,Success,44.8,192,0,1970s,1
Roscosmos,Russia,1970,Satellite,Failure,525.1,108,0,1970s,0
Roscosmos,Russia,1971,Satellite,Success,264.8,101,0,1970s,1
Roscosmos,Russia,1972,Lander,Success,163.5,115,2,1970s,1
Roscosmos,Russia,1972,Probe,Failure,304.1,41,0,1970s,0
Roscosmos,Russia,1972,Satellite,Success,113.6,496,0,1970s,1
Roscosmos,Russia,1973,Satellite,Success,24.1,776,6,1970s,1
Roscosmos,Russia,1973,Flyby,Success,152.9,364,0,1970s,1
Roscosmos,Russia,1973,Probe,Success,164.9,27,0,1970s,1
Roscosmos,Russia,1974,Flyby,Failure,14.8,200,0,1970s,0
Roscosmos,Russia,1974,Satellite,Failure,177.0,327,4,1970s,0
Roscosmos,Russia,1975,Lander,Partial Success,169.3,43,0,1970s,0
Roscosmos,Russia,1975,Telescope,Success,16.9,193,7,1970s,1
Roscosmos,Russia,1975,Flyby,Success,78.4,368,0,1970s,1
Roscosmos,Russia,1975,Lander,Success,316.2,93,0,1970s,1
Roscosmos,Russia,1975,Rover,Failure,215.5,287,0,1970s,0
Roscosmos,Russia,1976,Crewed,Success,75.7,214,0,1970s,1
Roscosmos,Russia,1976,Satellite,Success,70.1,46,0,1970s,1
Roscosmos,Russia,1976,Telescope,Failure,144.9,112,0,1970s,0
Roscosmos,Russia,1977,Crewed,Success,76.3,156,0,1970s,1
Roscosmos,Russia,1977,Lander,Failure,251.5,227,6,1970s,0
Roscosmos,Russia,1977,Satellite,Success,5.0,187,2,1970s,1
Roscosmos,Russia,1978,Crewed,Partial Success,16.0,119,0,1970s,0
Roscosmos,Russia,1978,Satellite,Success,243.7,139,0,1970s,1
Roscosmos,Russia,1979,Satellite,Success,171.4,36,0,1970s,1
Roscosmos,Russia,1979,Satellite,Failure,125.7,53,6,1970s,0
Roscosmos,Russia,1979,Rover,Success,119.9,7,0,1970s,1
Roscosmos,Russia,1980,Crewed,Success,274.8,414,0,1980s,1
Roscosmos,Russia,1980,Rover,Success,48.2,311,0,1980s,1
Roscosmos,Russia,1980,Satellite,Success,146.7,108,0,1980s,1
Roscosmos,Russia,1980,Lander,Success,297.9,43,0,1980s,1
Roscosmos,Russia,1980,Telescope,Success,140.1,142,0,1980s,1
Roscosmos,Russia,1981,Crewed,Success,83.8,227,0,1980s,1
Roscosmos,Russia,1981,Satellite,Partial Success,16.5,231,0,1980s,0
Roscosmos,Russia,1981,Satellite,Success,13.4,404,0,1980s,1
Roscosmos,Russia,1981,Satellite,Success,65.8,12,0,1980s,1
Roscosmos,Russia,1982,Space Station,Success,157.8,137,0,1980s,1
Roscosmos,Russia,1982,Telescope,Success,770.9,195,0,1980s,1
Roscosmos,Russia,1983,Flyby,Success,28.9,210,0,1980s,1
Roscosmos,Russia,1983,Satellite,Success,89.8,254,0,1980s,1
Roscosmos,Russia,1984,Flyby,Success,392.6,139,2,1980s,1
Roscosmos,Russia,1984,Telescope,Success,14.0,253,0,1980s,1
Roscosmos,Russia,1984,Rover,Failure,185.0,6,0,1980s,0
Roscosmos,Russia,1984,Crewed,Success,13.8,497,0,1980s,1
Roscosmos,Russia,1985,Flyby,Success,103.1,872,2,1980s,1
Roscosmos,Russia,1985,Flyby,Success,18.6,306,0,1980s,1
Roscosmos,Russia,1985,Space Station,Failure,245.9,280,0,1980s,0
Roscosmos,Russia,1986,Lander,Success,63.7,668,0,1980s,1
Roscosmos,Russia,1987,Lander,Success,28.8,125,0,1980s,1
Roscosmos,Russia,1987,Crewed,Success,10.6,4,0,1980s,1
Roscosmos,Russia,1987,Probe,Partial Success,506.4,101,0,1980s,0
Roscosmos,Russia,1987,Crewed,Success,16.8,184,0,1980s,1
Roscosmos,Russia,1988,Probe,Failure,9.0,948,0,1980s,0
Roscosmos,Russia,1988,Flyby,Success,41.0,27,0,1980s,1
Roscosmos,Russia,1988,Satellite,Success,176.7,11,0,1980s,1
Roscosmos,Russia,1989,Space Station,Success,89.6,38,0,1980s,1
Roscosmos,Russia,1989,Rover,Success,198.4,263,0,1980s,1
Roscosmos,Russia,1989,Probe,Success,5.0,54,0,1980s,1
Roscosmos,Russia,1989,Probe,Success,36.3,2,0,1980s,1
Roscosmos,Russia,1989,Rover,Partial Success,481.3,120,0,1980s,0
Roscosmos,Russia,1989,Probe,Success,279.0,18,0,1980s,1
Roscosmos,Russia,1990,Probe,Success,70.7,90,0,1990s,1
Roscosmos,Russia,1991,Satellite,Failure,348.1,111,0,1990s,0
Roscosmos,Russia,1991,Space Station,Success,151.9,171,0,1990s,1
Roscosmos,Russia,1991,Satellite,Success,200.6,129,0,1990s,1
Roscosmos,Russia,1991,Satellite,Success,189.0,13,0,1990s,1
Roscosmos,Russia,1991,Flyby,Success,200.6,78,0,1990s,1
Roscosmos,Russia,1991,Lander,Success,162.4,36,0,1990s,1
Roscosmos,Russia,1991,Telescope,Success,216.8,55,0,1990s,1
Roscosmos,Russia,1992,Telescope,Failure,72.2,41,0,1990s,0
Roscosmos,Russia,1992,Lander,Success,154.9,136,0,1990s,1
Roscosmos,Russia,1993,Satellite,Success,61.9,473,0,1990s,1
Roscosmos,Russia,1993,Crewed,Success,86.8,170,4,1990s,1
Roscosmos,Russia,1993,Satellite,Success,33.0,392,0,1990s,1
Roscosmos,Russia,1993,Rover,Success,296.4,337,4,1990s,1
Roscosmos,Russia,1993,Lander,Success,92.6,332,0,1990s,1
Roscosmos,Russia,1993,Telescope,Failure,29.3,141,7,1990s,0
Roscosmos,Russia,1993,Satellite,Partial Success,27.0,25,0,1990s,0
Roscosmos,Russia,1994,Probe,Success,53.0,149,0,1990s,1
Roscosmos,Russia,1994,Telescope,Failure,214.8,31,0,1990s,0
Roscosmos,Russia,1994,Satellite,Success,194.4,864,0,1990s,1
Roscosmos,Russia,1994,Rover,Success,34.2,145,0,1990s,1
Roscosmos,Russia,1994,Satellite,Success,65.9,275,0,1990s,1
Roscosmos,Russia,1995,Satellite,Failure,205.4,40,6,1990s,0
Roscosmos,Russia,1996,Space Station,Success,841.3,82,0,1990s,1
Roscosmos,Russia,1996,Space Station,Success,134.9,89,0,1990s,1
Roscosmos,Russia,1997,Crewed,Success,237.1,17,0,1990s,1
Roscosmos,Russia,1998,Probe,Success,123.4,166,0,1990s,1
Roscosmos,Russia,1998,Satellite,Failure,261.5,124,0,1990s,0
Roscosmos,Russia,1999,Lander,Failure,233.1,131,0,1990s,0
Roscosmos,Russia,2000,Satellite,Success,37.4,164,0,2000s,1
Roscosmos,Russia,2001,Rover,Success,72.6,152,0,2000s,1
Roscosmos,Russia,2001,Crewed,Success,61.1,4,0,2000s,1
Roscosmos,Russia,2001,Satellite,Success,109.5,63,4,2000s,1
Roscosmos,Russia,2001,Crewed,Success,309.2,332,0,2000s,1
Roscosmos,Russia,2001,Probe,Success,98.9,25,0,2000s,1
Roscosmos,Russia,2001,Probe,Success,86.1,235,0,2000s,1
Roscosmos,Russia,2002,Telescope,Success,470.6,12,0,2000s,1
Roscosmos,Russia,2002,Satellite,Success,42.5,426,0,2000s,1
Roscosmos,Russia,2003,Satellite,Success,9.7,426,0,2000s,1
Roscosmos,Russia,2003,Crewed,Success,64.0,414,0,2000s,1
Roscosmos,Russia,2003,Flyby,Success,123.2,497,0,2000s,1
Roscosmos,Russia,2003,Satellite,Success,196.9,716,0,2000s,1
Roscosmos,Russia,2004,Telescope,Failure,64.5,21,0,2000s,0
Roscosmos,Russia,2004,Satellite,Success,285.2,148,0,2000s,1
Roscosmos,Russia,2004,Space Station,Success,192.5,12,0,2000s,1
Roscosmos,Russia,2005,Probe,Success,27.2,524,2,2000s,1
Roscosmos,Russia,2006,Probe,Success,246.3,110,0,2000s,1
Roscosmos,Russia,2006,Satellite,Success,44.9,32,0,2000s,1
Roscosmos,Russia,2006,Probe,Success,34.4,378,2,2000s,1
Roscosmos,Russia,2006,Satellite,Success,90.0,755,0,2000s,1
Roscosmos,Russia,2007,Probe,Success,359.9,139,0,2000s,1
Roscosmos,Russia,2008,Flyby,Success,34.2,133,0,2000s,1
Roscosmos,Russia,2008,Probe,Success,151.0,287,0,2000s,1
Roscosmos,Russia,2008,Probe,Success,25.8,214,0,2000s,1
Roscosmos,Russia,2009,Satellite,Success,336.6,191,0,2000s,1
Roscosmos,Russia,2009,Telescope,Success,13.1,385,2,2000s,1
Roscosmos,Russia,2009,Flyby,Success,81.1,745,0,2000s,1
Roscosmos,Russia,2009,Satellite,Success,320.5,100,0,2000s,1
Roscosmos,Russia,2009,Probe,Success,112.4,228,2,2000s,1
Roscosmos,Russia,2010,Rover,Success,116.7,222,0,2010s,1
Roscosmos,Russia,2010,Rover,Success,92.2,79,0,2010s,1
Roscosmos,Russia,2011,Rover,Success,15.9,49,0,2010s,1
Roscosmos,Russia,2011,Probe,Success,207.2,189,0,2010s,1
Roscosmos,Russia,2012,Satellite,Success,173.9,12,0,2010s,1
Roscosmos,Russia,2012,Satellite,Success,272.1,58,0,2010s,1
Roscosmos,Russia,2012,Probe,Success,54.6,43,0,2010s,1
Roscosmos,Russia,2012,Telescope,Success,417.8,368,0,2010s,1
Roscosmos,Russia,2012,Telescope,Success,45.2,427,0,2010s,1
Roscosmos,Russia,2013,Space Station,Success,118.7,86,6,2010s,1
Roscosmos,Russia,2013,Crewed,Success,6.4,242,4,2010s,1
Roscosmos,Russia,2014,Satellite,Success,493.8,233,0,2010s,1
Roscosmos,Russia,2014,Satellite,Success,309.2,21,0,2010s,1
Roscosmos,Russia,2014,Satellite,Success,41.5,2,0,2010s,1
Roscosmos,Russia,2014,Probe,Success,52.9,64,0,2010s,1
Roscosmos,Russia,2015,Rover,Success,165.3,161,2,2010s,1
Roscosmos,Russia,2016,Rover,Success,5.3,157,7,2010s,1
Roscosmos,Russia,2017,Probe,Success,18.3,17,4,2010s,1
Roscosmos,Russia,2017,Rover,Success,316.8,152,0,2010s,1
Roscosmos,Russia,2018,Space Station,Success,87.9,168,0,2010s,1
Roscosmos,Russia,2018,Lander,Success,40.7,129,0,2010s,1
Roscosmos,Russia,2018,Probe,Success,158.4,541,0,2010s,1
Roscosmos,Russia,2019,Crewed,Success,95.9,8,0,2010s,1
Roscosmos,Russia,2019,Flyby,Success,60.4,118,0,2010s,1
Roscosmos,Russia,2019,Satellite,Success,34.8,130,0,2010s,1
Roscosmos,Russia,2020,Satellite,Success,17.1,74,2,2020s,1
Roscosmos,Russia,2021,Telescope,Success,18.1,76,0,2020s,1
Roscosmos,Russia,2021,Probe,Success,181.7,888,0,2020s,1
Roscosmos,Russia,2021,Crewed,Success,82.2,95,4,2020s,1
Roscosmos,Russia,2021,Telescope,Success,55.5,312,6,2020s,1
Roscosmos,Russia,2022,Satellite,Success,44.7,11,0,2020s,1
Roscosmos,Russia,2023,Crewed,Success,19.3,97,0,2020s,1
Roscosmos,Russia,2023,Satellite,Success,65.7,511,0,2020s,1
ESA,Europe,1975,Telescope,Success,611.3,170,2,1970s,1
ESA,Europe,1975,Satellite,Failure,581.9,12,0,1970s,0
ESA,Europe,1976,Crewed,Success,87.4,119,0,1970s,1
ESA,Europe,1977,Probe,Success,105.1,235,0,1970s,1
ESA,Europe,1978,Satellite,Success,389.0,106,0,1970s,1
ESA,Europe,1978,Rover,Failure,621.1,101,0,1970s,0
ESA,Europe,1978,Crewed,Success,229.7,220,0,1970s,1
ESA,Europe,1979,Satellite,Success,552.0,76,0,1970s,1
ESA,Europe,1980,Telescope,Success,104.1,13,0,1980s,1
ESA,Europe,1981,Crewed,Success,61.4,796,0,1980s,1
ESA,Europe,1982,Satellite,Success,176.0,598,0,1980s,1
ESA,Europe,1983,Crewed,Success,43.6,4,0,1980s,1
ESA,Europe,1984,Satellite,Failure,780.4,67,2,1980s,0
ESA,Europe,1985,Crewed,Partial Success,121.7,74,0,1980s,0
ESA,Europe,1985,Probe,Success,195.1,258,2,1980s,1
ESA,Europe,1985,Satellite,Success,75.1,38,0,1980s,1
ESA,Europe,1986,Probe,Partial Success,106.7,156,0,1980s,0
ESA,Europe,1987,Flyby,Success,530.7,175,0,1980s,1
ESA,Europe,1987,Satellite,Success,125.7,7,0,1980s,1
ESA,Europe,1988,Space Station,Partial Success,320.2,137,2,1980s,0
ESA,Europe,1989,Satellite,Failure,395.2,58,2,1980s,0
ESA,Europe,1990,Flyby,Success,165.1,358,0,1990s,1
ESA,Europe,1991,Lander,Success,122.2,128,0,1990s,1
ESA,Europe,1992,Lander,Failure,213.1,562,0,1990s,0
ESA,Europe,1992,Rover,Success,144.6,337,2,1990s,1
ESA,Europe,1992,Space Station,Success,148.7,128,0,1990s,1
ESA,Europe,1993,Lander,Success,320.7,212,0,1990s,1
ESA,Europe,1994,Satellite,Failure,59.2,568,0,1990s,0
ESA,Europe,1995,Rover,Success,337.2,27,0,1990s,1
ESA,Europe,1995,Telescope,Failure,363.2,336,0,1990s,0
ESA,Europe,1995,Probe,Success,20.2,94,0,1990s,1
ESA,Europe,1995,Satellite,Success,29.4,297,4,1990s,1
ESA,Europe,1996,Satellite,Success,173.6,284,0,1990s,1
ESA,Europe,1996,Satellite,Success,128.9,62,0,1990s,1
ESA,Europe,1997,Satellite,Success,255.7,695,0,1990s,1
ESA,Europe,1997,Telescope,Success,32.8,395,0,1990s,1
ESA,Europe,1997,Probe,Success,245.1,13,0,1990s,1
ESA,Europe,1997,Lander,Success,432.2,293,0,1990s,1
ESA,Europe,1997,Satellite,Success,373.3,56,0,1990s,1
